"Agency.Name","ABN","Value","Description","Procurement.Method","Title","Common.Title","Count","Total","Limited","Open","Prequalified","Supplier.Name"
"Australian Prudential Regulation Authority (APRA)","All",27347021.9,"PROPERTY COSTS FOR SYDNEY OFFICE","Limited tender","Lease and rental of property or building","Education and Training Services",287,79225565.52,61656471.99,5887801,11681292.53,"All"
"Australian Public Service Commission","All",1538650.08,"Information Communication Technology Services","Limited tender","Computer services","Education and Training Services",370,21153287.25,8780939.21,10738263.91,1634084.13,"All"
"Australian Radiation Protection and Nuclear Safety Agency (ARPANSA)","All",1175365.3,"Hansen Yuncken P/L","Limited tender","General building construction","Laboratory and scientific equipment",123,5717493.43,3905843.68,1454663.63,356986.12,"All"
"Australian Research Council","All",28170016,"Office Accommodation","Limited tender","Lease and rental of property or building","Research programs",261,39825172.17,36090169.36,3691652.81,43350,"All"
"Australian Securities and Investments Commission","All",13643348.38,"Market Surveillance System&nbsp; ISP 2012/7248&nbsp; 2012-00853","Prequalified tender","Security surveillance and detection","Legal services",728,160106703.12,36971602.63,74144855.1,48990245.39,"All"
"Australian Skills Quality Authority","All",6226954.69,"Property fitouts","Limited tender","Refurbishing services","Information technology consultation services",37,10702480.76,9174839.55,994296.17,533345.04,"All"
"Australian Taxation Office","All",414093693,"747 Collins St DOCKLANDS MELBOURNE Property Lease 15 years","Open tender","Lease and rental of property or building","Computer programmers",989,2172528701.35,213549264.85,1938761814.66,20217621.84,"All"
"Australian Transaction Reports and Analysis Centre (AUSTRAC)","All",7484173,"Provision of accomodation in Canberra","Limited tender","Lease and rental of property or building","Software maintenance and support",136,23887363.11,17367885.19,2813725.13,3705752.79,"All"
"Australian Transport Safety Bureau","All",3350047.9,"Rent, POE and various other pass through costs relating to accommodation","Limited tender","Management advisory services","Management advisory services",81,6780127.55,4694541.05,291718.75,1793867.75,"All"
"Australian War Memorial","All",1.5e+07,"Provision of casual and temporary staffing","Open tender","Personnel recruitment","Exhibitions",10,20240388,561000,19679388,0,"All"
"Bureau of Meteorology","All",22119057,"Provision of data centre facilities to Government","Open tender","Lease and rental of property or building","Temporary personnel services",784,100786587.19,43300964.33,47850902.54,9634720.32,"All"
"Cancer Australia","All",699339.3,"IT Maintenance and Support","Limited tender","Computer hardware maintenance or support","Internet services",68,4083006.98,3126604.05,912732.93,43670,"All"
"Clean Energy Regulator","All",18829528.3,"Shared Services","Limited tender","Business administration services","Audit services",283,74888602.68,28924969.98,45833092.7,130540,"All"
"Comcare","All",1043640,"Comcare required application management services for the ongoing support of the Regulatory Management System (RMS).","Open tender","Components for information technology or broadcasting or telecommunications","Computer Equipment and Accessories",9,5700027.86,418359.48,5281668.38,0,"All"
"Commonwealth of Australia","All",5e+07,"Car Rental Services - Whole of Australian GovernmentIn the interests of transparency, the Department of Finance&nbsp;and Deregulation (Finance)&nbsp;has estimated the total spend against this Standing Offer over the life of the agreements with the two panel suppliers to be in the order of $50 million (GST inclusive). In the documentation associated with the original approach to market, Request for Tender FIN11/FMG020, which closed on 30 January 2012, the total estimated annual spend by agencies subject to the Financial Management and Accountability Act 1997 against the major car rental companies operating in Australia was $23 million in financial year 2010-11. However, it was acknowledged at the time that the data available to arrive at that estimate may not have been accurate. Finance's expectation is that future data on expenditure for car rental services&nbsp;against the two panel suppliers will be greater than is currently available and more accurate; therefore, the estimate will be reviewed and updated where necessary during the period of the Standing Offer. Expenditure on individual car rentals is anticipated to be well below the threshold for separate reporting on AusTender.&nbsp;&nbsp;","Open tender","Vehicle rental","Vehicle rental",1,5e+07,0,5e+07,0,"All"
"Comsuper","All",6665131.24,"Licensing Support, Maintenance of Web Integration Systems for PSS","Limited tender","Software maintenance and support","Temporary personnel services",78,22948873.51,7231515.12,14569193.64,1148164.75,"All"
"CrimTrac","All",15995055,"Secondary Data Centre - Rental, power and anciliary charges Contract C12/144","Open tender","Lease and rental of property or building","Temporary personnel services",93,25565308.08,1585420.15,23629346.84,350541.09,"All"
"CRS Australia","All",718777,"Lease of premises at Level 3, Suite 2-3, 17-21 Macquarie Street, Parramatta NSW","Open tender","Lease and rental of property or building","Lease and rental of property or building",50,5224278.99,1216877.4,3806539.96,200861.63,"All"
"CSIRO","All",9300000,"Provision of a Management Information System (MIS), Financial Management Services and some Facilities Management services in addition to Optional and Non-Exclusive services.&nbsp;","Open tender","Property management services","Freight forwarders services",12,31894261,0,31894261,0,"All"
"Defence Materiel Organisation","All",882402873,"C-27J Battlefield Airlifters, associated support and training systems","Limited tender","Military fixed wing aircraft","Fuels",16995,9646451035.52,6840046461.17,1893169343.03,913235231.32,"All"
"Department of Agriculture Fisheries and Forestry","All",30500000,"Provision of data collection on land management practices.","Limited tender","Project administration or planning","Temporary personnel services",971,109448533.93,69092783.55,38616699.38,1739051,"All"
"Department of Broadband Communications and the Digital Economy","All",55467000,"Household Assistance & Satellite Subsidy Schemes Adelaide, Perth & Brisbane","Open tender","Enhanced telecommunications services","Temporary personnel services",781,256969318.89,18330246.4,206825064.77,31814007.72,"All"
"Department of Climate Change and Energy Efficiency","All",157951976,"Rent - Nishi Building","Limited tender","Lease and rental of property or building","Environmental management",667,258877509.82,222885377.48,30057986.34,5934146,"All"
"Department of Defence","All",1229122450,"Provision of Health Services","Open tender","Comprehensive health services","Building construction and support and maintenance and repair services",16406,7972193543.14,1255488150.98,5979090851.01,737614541.15,"All"
"Department of Education Employment and Workplace Relations","All",39342395.13,"Procurement of new IT mainframe hardware","Limited tender","Computer Equipment and Accessories","Public administration and finance services",1429,393641832.63,157828274.6,229666676.57,6146881.46,"All"
"Department of Families, Housing, Community Services and Indigenous Affairs","All",39738109,"Services in relation to the Household, Income and Labour Dynamics in Australia (HILDA) Survey","Open tender","Research programs","Temporary personnel services",1251,222729488.03,41314224.4,176659982.4,4755281.23,"All"
"Department of Finance and Deregulation","All",296888919,"Rent costs","Limited tender","Lease and rental of property or building","Management advisory services",1012,1018560915.47,415902489.96,593823880.09,8834545.42,"All"
"Department of Foreign Affairs and Trade","All",432930719,"Provision of Lease and Rental of Property or Building","Limited tender","Lease and rental of property or building","Temporary personnel services",958,952024445.37,614714775.82,333511281.47,3798388.08,"All"
"Department of Health and Ageing","All",116984707.1,"Supply of Seasonal &amp; Pandemic Influenza Vaccines","Open tender","Comprehensive health services","Business law services",1550,936018813.87,291533168.14,347508074.3,296977571.43,"All"
"Department of Health and Ageing - Therapeutic Goods Administration","All",3882019,"Total Facilities Services for TGA - Symonston and Fyshwick Sites","Open tender","Building support services","Temporary personnel services",243,27566766.51,10698816.67,15674548.44,1193401.4,"All"
"Department of Human Services","All",700480000,"Managed Telecommunications Services","Open tender","Telephony equipment","Computer services",3794,3098705129.06,783723329.18,2283104932.95,31876866.93,"All"
"Department of Immigration and Citizenship","All",224921473.1,"Community Support &amp; Tracing Services to eligible clients","Limited tender","Community and social services","Computer services",2753,2124610206.74,894407976.36,726471821.65,503730408.73,"All"
"Department of Industry, Innovation, Science, Research and Tertiary Education","All",4e+06,"Departmental vehicle leasing and fleet managerment services","Open tender","Vehicle leasing","Laboratory and scientific equipment",1349,107495509.52,44217449.05,59808935.47,3469125,"All"
"Department of Infrastructure and Transport","All",8996045,"IT Managed Services","Open tender","Computer services","Management advisory services",834,86777326.99,17509766.27,68211676.12,1055884.6,"All"
"Department of Infrastructure Transport Regional Development and Local Government","All",5411153,"Design and Installation of Aircraft Noise Insulation Works at two Adelaide Churches","Open tender","Insulation","Software",20,6282795.75,490080.55,5792715.2,0,"All"
"Department of Parliamentary Services","All",5500000,"Provision of Main Production Kitchen Refurbishment construction services","Prequalified tender","Building construction and support and maintenance and repair services","Building construction and support and maintenance and repair services",824,71002968.02,22869427.02,29094717.1,19038823.9,"All"
"Department of Regional Australia, Local Government, Arts and Sport","All",68096454,"Lease agreement for Garema Court Canberra","Limited tender","Lease and rental of property or building","Personnel recruitment",771,248338524.6,171518959.06,63484463.55,13335101.99,"All"
"Department of Resources Energy and Tourism","All",13450860,"Childcare Centre","Limited tender","Lease and rental of property or building","Management advisory services",323,56054413.59,39406385.16,12526060.52,4121967.91,"All"
"Department of Sustainability, Environment, Water, Population and Communities","All",23700278.84,"Refrigeration and Air Conditioning Industry Board Services","Open tender","Management advisory services","Water resources development and oversight",724,149134717.78,46193111.64,101772440.97,1169165.17,"All"
"Department of Sustainability, Environment, Water, Population and Communities - Australian Antarctic Division","All",15761037.85,"Charter of RSV Aurora Australia for 2012/13 shipping season","Open tender","Marine transport","Human resources services",505,100303970.55,19635096.51,77083436.18,3585437.86,"All"
"Department of the House of Representatives","All",1222458,"Table Office Production SystemProvision of TOPS - DHoR's portion of contract # SEN-1101","Open tender","Software","Software maintenance and support",84,6431146.09,2685821.34,3643473.07,101851.68,"All"
"Department of the Prime Minister and Cabinet","All",6681700,"Security Services for G20 2014","Limited tender","Security and personal safety","Software",435,50741005.46,35290113.74,14672012.72,778879,"All"
"Department of the Senate","All",1344703.8,"SAIC Pty Ltd / TOPS Proj.","Open tender","Software","Business administration services",33,3010218.61,538011.3,1683689.07,788518.24,"All"
"Department of the Treasury","All",7631720.47,"Education Tax Refund Communication Advertising","Open tender","Advertising","Management advisory services",573,70088581.21,19073135.34,38328731.49,12686714.38,"All"
"Department of Veterans' Affairs","All",64800000,"Treatment Account System processing&nbsp; RPBS Enhancements","Limited tender","Business administration services","Computer services",825,241928984.94,98162373.16,141998921.71,1767690.07,"All"
"Director of National Parks","All",22500000,"Provision of a range of services for Booderee National Park administered through service level agreements.&nbsp; Currently there are five SLAs covering cleaning, entry station, roads, infrastructure and&nbsp;grounds&nbsp;maintenance.","Limited tender","Building construction and support and maintenance and repair services","Building construction and support and maintenance and repair services",12,25870711.48,22500000,3370711.48,0,"All"
"Equal Opportunity for Women in the Workplace Agency","All",2256760,"To provide workflow system and website development services to EOWA","Open tender","Software","Graphic design",36,4324429.01,1718823.01,2256760,348846,"All"
"Fair Work Australia","All",1391224.05,"Property Operating expenses Apr 2012 Invoice 721338","Limited tender","Property management services","Legal services",285,18833145.87,9133831.78,7385990.77,2313323.32,"All"
"Family Court of Australia","All",10977120,"Property Lease for Newcastle","Limited tender","Lease and rental of property or building","Vehicle leasing",121,31664503.13,22948466.41,7278731.67,1437305.05,"All"
"Federal Court of Australia","All",3337626,"Proportional Contribution: Building Security Services Adelaide, Brisbane, Canberra, Hobart, Melbourne, and Perth Registries","Open tender","Security guard services","Information technology consultation services",29,7965232,1419070,5195664,1350498,"All"
"Federal Magistrates Court","All",587731.54,"Property Lease for Level 6, John Maddison Tower, Sydney","Limited tender","Lease and rental of property or building","Vehicle leasing",68,4860025.99,1973235.9,2886790.09,0,"All"
"Future Fund Management Agency","All",3553011,"Real estate services involving lease property, value includes 5 year option (Extension to CN15196)","Prequalified tender","Real estate services","Temporary personnel services",71,13405734.87,5034969.84,4817754.03,3553011,"All"
"Geoscience Australia","All",21879000,"Rent for GA Building Symonston 2012/2013","Limited tender","Lease and rental of property or building","Earth science services",941,111915065.65,42063519.87,64379323.83,5472221.95,"All"
"Great Barrier Reef Marine Park Authority","All",11911271,"Service provided to Field Management Program","Limited tender","Law enforcement","Environmental management",160,22590740.88,20034722.88,1002810.7,1553207.3,"All"
"Independent Hospital Pricing Authority","All",450000,"ABF Casemix conference","Open tender","Events management","Business administration services",31,3776779.95,1398924.65,851872.3,1525983,"All"
"Insolvency and Trustee Service Australia (ITSA)","All",1137242.38,"Property Lease - Canberra","Limited tender","Lease and rental of property or building","Temporary personnel services",374,33626948.03,13339028.22,19712538.2,575381.61,"All"
"IP Australia","All",14312170,"IP Australia Property Operating Expenses","Open tender","Property management services","Temporary personnel services",480,67035378.62,14498962.82,52246675.99,289739.81,"All"
"Migration Review Tribunal and Refugee Review Tribunal (MRT-RRT)","All",3150000,"Interpreting Services","Open tender","Interpreters","Software maintenance and support",72,7169314.79,1419639.37,5047572.19,702103.23,"All"
"Murray-Darling Basin Authority","All",1044291,"Establishing a capability for monitoring the extent and greenness of flood-dependent vegetation in the Murray-Darling Basin (Vegetation Monitoring in the MDB)","Limited tender","Environmental management","Environmental management",175,13487520,5315539,7245458,926523,"All"
"National Archives of Australia","All",1568234.94,"Professional Services - AVAMS Solution Design and Implementation","Open tender","Software","Building construction and support and maintenance and repair services",222,16922767.84,8164981.41,8402016.38,355770.05,"All"
"National Blood Authority","All",61820000,"Supply of Imported Plasma and Recombinant Products","Open tender","Comprehensive health services","Project management",122,94225860.04,3850371.89,83298305.05,7077183.1,"All"
"National Capital Authority","All",5381341.83,"Anzac Parade &amp; Constitution Ave Intersection Stage 2 - Head Contractor","Limited tender","Civil engineering","General building construction",115,24780036.29,14221062.74,4860425.69,5698547.86,"All"
"National Competition Council","All",685339.6,"Corporate Support Services","Limited tender","Business administration services","Business administration services",4,1782809.54,1226697.6,556111.94,0,"All"
"National Health and Medical Research Council","All",593340,"ICT Services and Support","Open tender","Data services","Data services",122,5933571.2,1639567.54,3963224.13,330779.53,"All"
"National Mental Health Commission","All",525287,"Data handling, analysis and other support services","Limited tender","Research programs","Research programs",32,3334857.54,2964439.54,355018,15400,"All"
"National Museum of Australia","All",10897107,"Construction - Refurbishment of catering facilities and extension to the main administration building","Open tender","General building construction","Interior finishing materials",6,17216881.28,0,17216881.28,0,"All"
"National Offshore Petroleum Safety and Environmental Management Authority","All",1842454.38,"Provision of Services for building and fitout of Level 8, Alluvion Building, 58 Mounts Bay Road, Perth WA 6000","Prequalified tender","General building construction","Temporary personnel services",35,3635183.2,465211.04,388275,2781697.16,"All"
"National Water Commission","All",396083,"To identify and populate hydrological indicators of water stress in catchments and aquifers across Australia","Limited tender","Environmental protection","Environmental management",73,3287562.94,1980042.28,1258038.93,49481.73,"All"
"Office of National Assessments","All",35140000,"Accommodation lease","Limited tender","Lease and rental of property or building","Audio and visual equipment",84,47391448.93,37273468.93,10093912,24068,"All"
"Office of the Australian Information Commissioner","All",1062791.4,"OFFICE FITOUT","Limited tender","Workstations and office packages","Education and Training Services",22,2162194.55,1538212.71,623981.84,0,"All"
"Office of the Commonwealth Ombudsman","All",784545,"Lease of Building","Prequalified tender","Lease and rental of property or building","Lease and rental of property or building",22,1954764.77,996788.02,1e+05,857976.75,"All"
"Office of the Director of Public Prosecutions","All",30957000,"Sydney Office Rent","Limited tender","Lease and rental of property or building","Transcribing services",127,42212594.3,34056379.21,8114765.09,41450,"All"
"Office of the Fair Work Building Industry Inspectorate","All",4872000,"MOU b/w DEEWR and ABCC for the provision of Information Technology Services 2010-2013.","Limited tender","Information technology consultation services","Legal services",244,17927701.96,17345002.64,582699.32,0,"All"
"Office of the Fair Work Ombudsman","All",18474261.3,"FWO Property Operating Expenditure","Open tender","Lease and rental of property or building","Legal services",226,52956946.22,15064639.37,37892306.85,0,"All"
"Office of the Official Secretary to the Governor-General","All",767923.42,"CONSTRUCTION WORKS - DAMP MINIMISATION AH","Open tender","General building construction","Medals",72,4821275.98,1843731.71,2953575.47,23968.8,"All"
"Old Parliament House","All",2734694,"Provision of Information&nbsp;Services","Limited tender","Computer services","Computer services",86,6033113.24,4769637.2,1190875.64,72600.4,"All"
"Productivity Commission","All",189000,"Whole of Government Stationery Agreement","Open tender","Stationery","Software maintenance and support",70,2338326.27,1504879.82,833446.45,0,"All"
"Professional Services Review","All",4e+05,"Provision of legal services to PSR Committees","Open tender","Legal services","Insurance and retirement services",29,1589810.22,651366.35,938443.87,0,"All"
"Reserve Bank of Australia","All",3903107,"The supply of Next Generation Firewalls together with support and maintenance.","Open tender","Network security equipment","Computer hardware maintenance or support",5,9540776.02,0,5492025.57,4048750.45,"All"
"Royal Australian Mint","All",4598991.98,"BULLION AG 999 GOLDCORP","Open tender","Minerals and ores and metals","Packaging materials",250,39131771.62,9275270.07,27967600.49,1888901.06,"All"
"Safe Work Australia","All",399517,"National Return to Work Survey","Open tender","Research programs","Research programs",31,1974868.6,744360.32,1230508.28,0,"All"
"Social Security Appeals Tribunal","All",5545550.3,"Lease for L26,216 Adelaide St BNE&nbsp; 01-Jan-2012 to 31-Dec-2021","Prequalified tender","Lease and rental of property or building","Software",79,14587539.1,0,0,14587539.1,"All"
"Sydney Harbour Federation Trust","All",25947643.19,"Former HMAS Platypus Site Major Remediation Works","Open tender","Decontamination services","Decontamination services",1,25947643.19,0,25947643.19,0,"All"
"Telecommunications Universal Service Management Agency","All",6.38e+09,"TUSMA Agreement as entered into by DBCDE for Standard Telephone Service (USO), Payphones (USO), Voice Only Customer Migration, Emergency Call Service and Migration of Public Interest services.","Limited tender","Components for information technology or broadcasting or telecommunications","Management advisory services",11,6401227151.99,6382530608,18696543.99,0,"All"
"Tertiary Education Quality and Standards Agency","All",11353257.11,"Rent 530 Collins Street","Limited tender","Lease and rental of property or building","Temporary personnel services",83,19391118.4,17595195.73,1795922.67,0,"All"
"Tourism Australia","All",2400000,"Sydney Convention and Exhibtion Centre to hold Australian Tourism Exchange event in 2013","Limited tender","Exhibitions","Components for information technology or broadcasting or telecommunications",6,8021424,5530441,2490983,0,"All"
"All","11000013098",2233485.1,"GENERIC SECURITY MONITORI","Open tender","Security guard services","Security guard services",11,5959760.11,98453.3,5861306.81,0,"SNP Security"
"All","11002533851",1300000,"Provision of media monitors services","Open tender","Telecommunications media services","News and publicity services",56,9252633.45,1460713.2,7658331.17,133589.08,"Media Monitors"
"All","11004282268",98138700,"HMAS Harman Communication Facilities Project","Prequalified tender","Building construction and support and maintenance and repair services","Building construction and support and maintenance and repair services",35,205767812.51,288985.44,51398070.76,154080756.31,"JOHN HOLLAND PTY LTD"
"All","11008660713",315431.67,"Provision of Professional Services","Limited tender","Aerospace systems and components and equipment","Surveillance and detection equipment",18,1478837.94,1478837.94,0,0,"AUSTAL SYSTEMS PTY LTD"
"All","11050722382",16339672.76,"Medical Services","Limited tender","Comprehensive health services","Comprehensive health services",10,28962664.72,24836304.01,4126360.71,0,"CHANDLER MACLEOD HEALTH PTY LTD"
"All","11064699029",1314720,"ISP2011/27093 - Agency Fees","Prequalified tender","Temporary personnel services","Business administration services",3,1434120,0,0,1434120,"Ally Group"
"All","11078363729",2440677.92,"Gateway Constructions Provision of Field Offices as part of Field Office Replacement.","Prequalified tender","Building construction and support and maintenance and repair services","Building construction and support and maintenance and repair services",2,4800831.92,0,0,4800831.92,"Margach Builders Pty Ltd"
"All","11083481298",128641.76,"Practical Resillience Capability Based Training Workshops","Open tender","Human resources services","Management advisory services",28,1070346.21,293455,625003.21,151888,"Workplace Research Associates Pty L"
"All","11087255472",374000,"ICT Contractor Services","Open tender","Computer services","Computer services",21,3126698.77,11221.1,3115477.67,0,"BRIDGE IT ENGINEERING PTY LTD"
"All","11090818214",5384544,"Engagement of Contractor for CDG Industry Support Partnership","Open tender","Corporate objectives or policy development","Professional engineering services",125,40810519.55,6333182.82,21867673.06,12609663.67,"NOVA DEFENCE"
"All","11092284314",5113076.53,"Enterprise Design - Business Solutions","Open tender","Application implementation services","Temporary personnel services",23,9158934.08,1452444.55,7657209.53,49280,"Capgemini Australia Pty Ltd"
"All","11093114553",152500000,"Garrison Support Services contract extension to 12 August 2014","Limited tender","Project management","Building construction and support and maintenance and repair services",203,272626757.46,154291242.07,67784884.75,50550630.64,"TRANSFIELD SERVICES"
"All","11098350479",1301411.1,"Receiver technologies and techniques engineering","Limited tender","Manufacturing technologies","Photographic services",8,2401860.48,1476736.36,787624.12,137500,"MICREO LIMITED"
"All","11102985277",1258821.8,"Security Vetting Services","Open tender","Security and personal safety","Security and personal safety",5,1571321.88,0,1571321.88,0,"PERSEC SOLUTIONS"
"All","11110755532",242675.85,"PC9 BDS ITEMS","Limited tender","Military fixed wing aircraft","Motor vehicles",22,1082793.27,666974.14,222071.51,193747.62,"MILITARY & AVIATION SPARES"
"All","11112888785",498960,"Architecture and related services","Open tender","Information technology consultation services","Information technology consultation services",10,1377264,223052,931854,222358,"Business Aspect Pty Ltd"
"All","11119849062",352441.19,"Mulwala Insensitive Munitions Studies","Open tender","Explosive materials","Explosive materials",19,1900063.64,474641.38,1205686.47,219735.79,"QINETIQ PTY LTD"
"All","11121177802",3024603.03,"ELECTRICITY SUPPLY TO SITES IN QLD","Limited tender","Utilities","Electrical services",3,3071251.04,3050603.03,0,20648.01,"Ergon Energy"
"All","11130171658",2461002.5,"Management Consultancy Services Standing Offer Panel","Open tender","Management advisory services","Strategic planning consultation services",77,30648393.01,3370341.8,25324205.13,1953846.08,"BOOZ & COMPANY (AUSTRALIA) PTY LTD"
"All","11255872006",5113000,"TAS ACAP Agreement 2012-2014","Limited tender","Individual health screening and assessment services","Comprehensive health services",3,6130400,6130400,0,0,"DEPARTMENT OF HEALTH AND"
"All","11465610846",710210,"Lease at 216-228 Cowlishaw Street, Tuggeranong, ACT (Migrated Contract)","Open tender","Lease and rental of property or building","Lease and rental of property or building",3,1257941,0,1257941,0,"Flax Pty Ltd"
"All","11525031744",1118000,"SA - UHM Payment","Limited tender","Comprehensive health services","Business administration services",2,1135468.55,1135468.55,0,0,"Department for Communities and Social Inclusion"
"All","11646964149",354418.35,"MK19 MOD3 Grenade Machine Guns","Limited tender","Arms and ammunition accessories","Arms and ammunition accessories",18,1165667.66,1153853.66,11814,0,"NIOA"
"All","11656991442",3150389.51,"Lease at Nerang, QLD","Open tender","Lease and rental of property or building","Lease and rental of property or building",1,3150389.51,0,3150389.51,0,"Bullhunter Pty Ltd"
"All","11705723812",152927,"Quantifying Benefits of Building Regulatory Reform","Open tender","Economic analysis","Research programs",17,1043545.5,505878,537667.5,0,"Centre for International Economics"
"All","11738794184",4852248.49,"Lease of National Blood Authority Premises","Prequalified tender","Lease and rental of property or building","Lease and rental of property or building",1,4852248.49,0,0,4852248.49,"Cromwell Northbourne Planned Investment"
"All","12000637267",21139049.8,"Providing professional development training for teachers, school leaders, school staff and information sessions and workshops for parents and carers across Australia as part of Helping Children with Autism package","Open tender","Education and Training Services","Education and Training Services",1,21139049.8,0,21139049.8,0,"Autism Spectrum Australia"
"All","12002773248",127193,"Consultancy - Defence National Wildlife Hazard Management Plan","Prequalified tender","Safety or risk analysis","Environmental management",22,1103278.19,28148.34,623313.65,451816.2,"ENVIRONMENTAL RESOURCE MANAGEMENT"
"All","12002987920",466796,"Research in Reserve and Australian Community","Limited tender","Market research","Market research",10,1119333.4,547364.4,560463,11506,"Cudex Pty Ltd T/A Newspoll"
"All","12004044937",1860000,"Banking and Related Services","Open tender","Accounting services","Accounting services",3,3740000,0,3740000,0,"National Australia Bank Ltd"
"All","12011071239",1344703.8,"SAIC Pty Ltd / TOPS Proj.","Open tender","Software","Software maintenance and support",16,5032407.49,844608.19,4033709.8,154089.5,"SAIC"
"All","12052028538",8897025.35,"Lease at Illawarra Call Centre, Wollongong, NSW","Open tender","Lease and rental of property or building","Lease and rental of property or building",2,9009920.35,112895,8897025.35,0,"DAA Holdings Pty Ltd"
"All","12071999132",1357815,"aircraft spares","Prequalified tender","Aerospace systems and components and equipment","Aerospace systems and components and equipment",206,8471986.37,2490011.41,302257.89,5679717.07,"AUSTRALIAN AEROSPACE"
